,punctuality,lying,happiness,energy-levels,internet-usage,loneliness,assertiveness,workaholism,age,height,weight,siblings,gender,dominant-hand,locality
600,i am often running late,sometimes,4.0,3.0,most of the day,4.0,2.0,3.0,18.0,171.0,54.0,0.0,female,right handed,city
19,i am always on time,only to avoid hurting someone,4.0,3.0,few hours a day,2.0,1.0,1.0,18.0,188.0,90.0,1.0,male,left handed,city
515,i am often running late,everytime it suits me,3.0,2.0,most of the day,3.0,4.0,1.0,19.0,187.0,69.0,1.0,male,right handed,city
308,i am always on time,sometimes,4.0,5.0,few hours a day,3.0,3.0,4.0,19.0,178.0,68.0,2.0,female,right handed,city
719,i am always on time,sometimes,3.0,3.0,few hours a day,1.0,3.0,3.0,19.0,185.0,75.0,2.0,male,left handed,city
307,i am often running late,only to avoid hurting someone,3.0,3.0,few hours a day,5.0,4.0,5.0,19.0,176.0,68.0,2.0,female,right handed,city
571,i am always on time,only to avoid hurting someone,4.0,4.0,few hours a day,4.0,5.0,5.0,19.0,170.0,75.0,2.0,male,right handed,village
470,i am always on time,only to avoid hurting someone,3.0,4.0,few hours a day,3.0,2.0,4.0,19.0,167.0,58.0,1.0,female,right handed,village
494,i am often early,only to avoid hurting someone,3.0,4.0,few hours a day,3.0,3.0,4.0,19.0,165.0,55.0,1.0,female,right handed,city
519,i am often running late,only to avoid hurting someone,4.0,3.0,few hours a day,2.0,2.0,2.0,19.0,185.0,74.0,1.0,male,right handed,city
567,i am often running late,everytime it suits me,4.0,4.0,few hours a day,3.0,4.0,2.0,19.0,189.0,97.0,1.0,male,right handed,city
310,i am always on time,sometimes,4.0,3.0,few hours a day,4.0,2.0,5.0,19.0,180.0,78.0,1.0,male,right handed,city
491,i am always on time,sometimes,4.0,4.0,less than an hour a day,3.0,2.0,2.0,19.0,165.0,56.0,1.0,female,right handed,city
466,i am always on time,sometimes,2.0,4.0,few hours a day,1.0,3.0,4.0,19.0,189.0,72.0,0.0,male,right handed,city
552,i am always on time,sometimes,3.0,4.0,few hours a day,3.0,5.0,2.0,19.0,,50.0,3.0,female,right handed,city
724,i am often early,sometimes,3.0,2.0,few hours a day,3.0,3.0,2.0,19.0,180.0,70.0,1.0,female,right handed,city
474,i am often running late,everytime it suits me,5.0,5.0,few hours a day,2.0,4.0,5.0,19.0,180.0,80.0,1.0,male,right handed,village
485,i am often running late,everytime it suits me,2.0,3.0,few hours a day,5.0,1.0,2.0,19.0,165.0,64.0,1.0,female,right handed,city
532,i am always on time,sometimes,3.0,4.0,few hours a day,2.0,3.0,3.0,19.0,170.0,65.0,0.0,female,right handed,city
326,i am often running late,only to avoid hurting someone,5.0,4.0,few hours a day,1.0,5.0,1.0,19.0,175.0,58.0,0.0,female,right handed,city
558,i am often running late,sometimes,5.0,3.0,few hours a day,2.0,4.0,3.0,19.0,,,2.0,female,right handed,city
524,i am often running late,only to avoid hurting someone,3.0,2.0,less than an hour a day,3.0,2.0,3.0,19.0,171.0,60.0,4.0,female,right handed,city
523,,only to avoid hurting someone,4.0,4.0,few hours a day,3.0,3.0,3.0,19.0,180.0,67.0,3.0,male,left handed,village
566,i am always on time,everytime it suits me,3.0,3.0,less than an hour a day,3.0,2.0,1.0,19.0,175.0,76.0,1.0,female,right handed,village
487,i am often running late,everytime it suits me,4.0,5.0,most of the day,1.0,5.0,1.0,19.0,186.0,66.0,3.0,female,right handed,village
536,i am always on time,sometimes,4.0,5.0,few hours a day,1.0,3.0,1.0,19.0,168.0,57.0,1.0,female,right handed,city
325,i am often early,sometimes,3.0,4.0,less than an hour a day,3.0,4.0,3.0,19.0,185.0,62.0,1.0,male,right handed,village
713,i am often running late,sometimes,4.0,4.0,most of the day,3.0,5.0,4.0,19.0,168.0,60.0,2.0,female,right handed,village
554,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,4.0,3.0,19.0,178.0,65.0,0.0,male,right handed,village
317,i am often early,sometimes,3.0,4.0,few hours a day,3.0,5.0,3.0,19.0,180.0,65.0,2.0,male,right handed,city
500,i am always on time,sometimes,3.0,5.0,few hours a day,4.0,4.0,3.0,19.0,172.0,58.0,2.0,female,left handed,city
511,i am often early,only to avoid hurting someone,4.0,4.0,few hours a day,3.0,2.0,3.0,19.0,185.0,75.0,2.0,male,right handed,city
498,i am always on time,sometimes,3.0,3.0,few hours a day,3.0,3.0,2.0,19.0,170.0,50.0,3.0,female,right handed,village
446,i am often running late,everytime it suits me,4.0,2.0,few hours a day,3.0,2.0,1.0,19.0,185.0,70.0,1.0,male,right handed,city
459,i am always on time,sometimes,4.0,4.0,less than an hour a day,3.0,1.0,4.0,19.0,166.0,62.0,0.0,female,right handed,city
598,i am often early,only to avoid hurting someone,4.0,4.0,few hours a day,4.0,4.0,3.0,19.0,170.0,80.0,1.0,male,left handed,city
371,i am always on time,sometimes,5.0,4.0,few hours a day,1.0,4.0,4.0,19.0,164.0,53.0,4.0,female,right handed,village
427,i am often running late,only to avoid hurting someone,4.0,3.0,few hours a day,3.0,3.0,5.0,19.0,180.0,77.0,1.0,male,right handed,city
687,i am often running late,sometimes,4.0,4.0,few hours a day,3.0,3.0,3.0,19.0,170.0,60.0,1.0,male,right handed,city
685,i am often early,sometimes,4.0,4.0,few hours a day,4.0,3.0,2.0,19.0,163.0,53.0,0.0,female,right handed,village
682,i am often early,only to avoid hurting someone,4.0,3.0,few hours a day,3.0,3.0,2.0,19.0,172.0,75.0,4.0,male,right handed,village
599,i am often running late,sometimes,5.0,4.0,few hours a day,2.0,3.0,3.0,19.0,184.0,84.0,1.0,male,right handed,city
424,i am often early,sometimes,4.0,4.0,few hours a day,3.0,5.0,2.0,19.0,154.0,60.0,2.0,female,right handed,city
661,i am always on time,only to avoid hurting someone,4.0,3.0,few hours a day,2.0,3.0,4.0,19.0,165.0,70.0,1.0,female,right handed,city
384,i am often running late,sometimes,3.0,4.0,few hours a day,4.0,3.0,3.0,19.0,170.0,58.0,1.0,female,right handed,city
370,i am often running late,everytime it suits me,4.0,4.0,few hours a day,2.0,2.0,5.0,19.0,168.0,58.0,2.0,female,right handed,village
601,i am often running late,sometimes,4.0,3.0,few hours a day,3.0,3.0,2.0,19.0,164.0,55.0,1.0,female,right handed,village
386,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,4.0,3.0,19.0,166.0,55.0,0.0,female,right handed,city
655,i am always on time,only to avoid hurting someone,2.0,3.0,few hours a day,4.0,4.0,3.0,19.0,174.0,70.0,1.0,female,right handed,village
634,i am always on time,sometimes,4.0,3.0,few hours a day,2.0,2.0,2.0,19.0,170.0,63.0,1.0,female,right handed,village
630,i am always on time,never,5.0,5.0,few hours a day,3.0,4.0,5.0,19.0,173.0,60.0,1.0,female,right handed,city
400,i am often early,only to avoid hurting someone,3.0,2.0,most of the day,2.0,5.0,5.0,19.0,180.0,80.0,1.0,male,left handed,village
628,i am always on time,sometimes,3.0,2.0,few hours a day,4.0,3.0,1.0,19.0,172.0,68.0,0.0,male,right handed,city
625,i am often early,sometimes,3.0,5.0,few hours a day,1.0,4.0,2.0,19.0,163.0,50.0,1.0,female,right handed,city
415,i am often running late,everytime it suits me,3.0,3.0,few hours a day,5.0,4.0,3.0,19.0,173.0,69.0,1.0,female,right handed,village
407,i am always on time,only to avoid hurting someone,4.0,4.0,less than an hour a day,2.0,3.0,5.0,19.0,166.0,44.0,1.0,female,left handed,city
617,i am often running late,everytime it suits me,5.0,4.0,most of the day,3.0,1.0,5.0,19.0,160.0,55.0,1.0,female,right handed,city
607,i am always on time,sometimes,4.0,4.0,less than an hour a day,2.0,4.0,3.0,19.0,168.0,55.0,1.0,female,right handed,city
577,i am always on time,only to avoid hurting someone,3.0,2.0,few hours a day,2.0,4.0,1.0,19.0,160.0,43.0,1.0,female,right handed,city
430,i am always on time,sometimes,4.0,4.0,less than an hour a day,3.0,4.0,2.0,19.0,170.0,53.0,1.0,female,right handed,village
597,i am always on time,never,4.0,3.0,less than an hour a day,2.0,5.0,4.0,19.0,178.0,68.0,1.0,male,right handed,city
457,i am always on time,only to avoid hurting someone,3.0,4.0,few hours a day,3.0,5.0,2.0,19.0,181.0,62.0,2.0,male,right handed,city
702,i am often early,sometimes,4.0,5.0,most of the day,5.0,5.0,3.0,19.0,185.0,83.0,2.0,male,right handed,city
579,i am always on time,only to avoid hurting someone,3.0,2.0,most of the day,4.0,5.0,2.0,19.0,195.0,95.0,0.0,male,right handed,city
455,i am always on time,sometimes,4.0,3.0,less than an hour a day,4.0,3.0,3.0,19.0,175.0,58.0,1.0,female,right handed,village
453,i am often early,everytime it suits me,3.0,3.0,few hours a day,3.0,5.0,2.0,19.0,169.0,,1.0,female,right handed,village
592,i am always on time,sometimes,3.0,5.0,few hours a day,3.0,3.0,3.0,19.0,170.0,65.0,0.0,female,right handed,city
449,i am often early,everytime it suits me,3.0,3.0,few hours a day,3.0,5.0,2.0,19.0,169.0,67.0,1.0,female,right handed,village
448,i am often running late,sometimes,5.0,4.0,few hours a day,2.0,1.0,5.0,19.0,168.0,49.0,1.0,female,right handed,village
444,i am often running late,sometimes,3.0,4.0,few hours a day,4.0,3.0,3.0,19.0,170.0,54.0,1.0,female,right handed,city
352,i am always on time,only to avoid hurting someone,4.0,4.0,few hours a day,4.0,4.0,4.0,19.0,189.0,76.0,1.0,male,right handed,city
431,i am often early,sometimes,4.0,3.0,few hours a day,3.0,4.0,3.0,19.0,185.0,78.0,2.0,male,left handed,village
698,i am often running late,only to avoid hurting someone,3.0,5.0,most of the day,5.0,5.0,2.0,19.0,163.0,70.0,0.0,female,right handed,city
355,i am always on time,only to avoid hurting someone,4.0,2.0,few hours a day,3.0,1.0,3.0,19.0,180.0,80.0,1.0,male,right handed,city
440,i am always on time,sometimes,3.0,3.0,few hours a day,3.0,2.0,2.0,19.0,164.0,58.0,1.0,female,right handed,city
439,i am always on time,only to avoid hurting someone,4.0,5.0,few hours a day,1.0,3.0,2.0,19.0,175.0,70.0,1.0,male,right handed,city
358,i am always on time,everytime it suits me,3.0,3.0,less than an hour a day,3.0,3.0,2.0,19.0,170.0,68.0,2.0,male,right handed,city
361,i am often early,everytime it suits me,5.0,5.0,less than an hour a day,1.0,5.0,5.0,19.0,166.0,58.0,1.0,female,right handed,village
362,i am always on time,only to avoid hurting someone,,5.0,few hours a day,3.0,5.0,4.0,19.0,167.0,50.0,2.0,female,right handed,city
363,i am always on time,only to avoid hurting someone,5.0,3.0,few hours a day,3.0,4.0,4.0,19.0,167.0,50.0,2.0,female,right handed,city
436,i am always on time,sometimes,3.0,4.0,few hours a day,5.0,5.0,1.0,19.0,176.0,62.0,1.0,male,right handed,city
366,i am always on time,never,3.0,4.0,most of the day,3.0,4.0,5.0,19.0,190.0,85.0,1.0,male,right handed,city
433,i am often running late,sometimes,4.0,3.0,few hours a day,3.0,3.0,5.0,19.0,170.0,56.0,3.0,female,right handed,city
441,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,3.0,3.0,19.0,155.0,48.0,1.0,female,left handed,city
616,i am often running late,everytime it suits me,5.0,5.0,few hours a day,1.0,5.0,4.0,19.0,178.0,71.0,1.0,male,right handed,city
506,i am often running late,sometimes,4.0,5.0,few hours a day,1.0,4.0,2.0,19.0,189.0,83.0,1.0,male,left handed,city
260,i am often early,only to avoid hurting someone,3.0,3.0,few hours a day,3.0,3.0,3.0,19.0,197.0,96.0,0.0,male,right handed,city
149,i am always on time,sometimes,3.0,2.0,few hours a day,3.0,2.0,3.0,19.0,184.0,85.0,5.0,male,right handed,city
969,i am often running late,everytime it suits me,4.0,4.0,few hours a day,1.0,3.0,1.0,19.0,180.0,70.0,2.0,male,right handed,village
725,i am always on time,only to avoid hurting someone,4.0,4.0,few hours a day,2.0,5.0,4.0,19.0,176.0,66.0,0.0,male,right handed,village
855,i am always on time,sometimes,5.0,4.0,few hours a day,3.0,2.0,3.0,19.0,180.0,90.0,1.0,male,right handed,city
852,i am often early,only to avoid hurting someone,5.0,4.0,few hours a day,1.0,3.0,1.0,19.0,175.0,75.0,2.0,male,right handed,village
155,i am always on time,everytime it suits me,2.0,1.0,few hours a day,5.0,4.0,5.0,19.0,171.0,72.0,1.0,female,right handed,city
972,i am always on time,only to avoid hurting someone,4.0,4.0,less than an hour a day,2.0,2.0,5.0,19.0,178.0,88.0,0.0,female,right handed,city
848,i am often running late,everytime it suits me,5.0,5.0,few hours a day,1.0,4.0,4.0,19.0,184.0,60.0,4.0,male,right handed,city
160,i am always on time,sometimes,2.0,3.0,few hours a day,3.0,3.0,1.0,19.0,194.0,79.0,1.0,male,right handed,city
847,i am always on time,sometimes,4.0,3.0,few hours a day,5.0,4.0,3.0,19.0,170.0,51.0,1.0,female,left handed,city
35,i am always on time,sometimes,5.0,5.0,few hours a day,3.0,3.0,1.0,19.0,170.0,72.0,1.0,female,right handed,village
976,i am always on time,sometimes,5.0,4.0,few hours a day,2.0,2.0,3.0,19.0,172.0,62.0,1.0,female,right handed,city
841,i am always on time,only to avoid hurting someone,3.0,3.0,few hours a day,5.0,3.0,3.0,19.0,185.0,65.0,3.0,male,left handed,city
836,i am often running late,everytime it suits me,5.0,5.0,few hours a day,1.0,4.0,2.0,19.0,187.0,88.0,0.0,male,right handed,city
835,i am always on time,sometimes,4.0,3.0,few hours a day,3.0,3.0,4.0,19.0,190.0,76.0,0.0,male,right handed,city
833,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,4.0,2.0,19.0,193.0,77.0,1.0,male,right handed,city
169,i am often running late,sometimes,2.0,3.0,few hours a day,4.0,4.0,3.0,19.0,157.0,57.0,2.0,female,right handed,village
170,i am often running late,sometimes,4.0,4.0,few hours a day,4.0,2.0,3.0,19.0,176.0,64.0,1.0,male,right handed,city
977,i am always on time,everytime it suits me,4.0,4.0,few hours a day,2.0,4.0,2.0,19.0,183.0,83.0,1.0,male,right handed,village
979,i am often running late,sometimes,5.0,4.0,few hours a day,2.0,3.0,5.0,19.0,194.0,90.0,0.0,male,left handed,city
981,i am always on time,sometimes,2.0,1.0,most of the day,4.0,1.0,1.0,19.0,168.0,57.0,1.0,female,left handed,village
828,i am often early,only to avoid hurting someone,4.0,2.0,few hours a day,2.0,2.0,2.0,19.0,184.0,80.0,1.0,male,right handed,village
29,i am often running late,sometimes,4.0,4.0,few hours a day,3.0,4.0,5.0,19.0,168.0,,2.0,female,right handed,village
27,i am often early,sometimes,3.0,3.0,few hours a day,3.0,2.0,4.0,19.0,163.0,50.0,1.0,female,right handed,city
986,i am often running late,sometimes,5.0,4.0,few hours a day,3.0,4.0,4.0,19.0,161.0,60.0,3.0,female,right handed,city
938,i am often running late,everytime it suits me,3.0,1.0,few hours a day,5.0,4.0,5.0,19.0,166.0,63.0,0.0,female,right handed,city
24,i am often early,only to avoid hurting someone,2.0,4.0,few hours a day,4.0,5.0,4.0,19.0,167.0,,1.0,female,right handed,city
182,i am often early,sometimes,4.0,4.0,few hours a day,2.0,5.0,5.0,19.0,158.0,47.0,0.0,female,right handed,city
988,i am often running late,only to avoid hurting someone,5.0,5.0,few hours a day,5.0,3.0,5.0,19.0,183.0,70.0,0.0,male,right handed,city
968,i am always on time,sometimes,4.0,4.0,few hours a day,2.0,,5.0,19.0,184.0,75.0,2.0,male,left handed,city
42,i am often early,sometimes,4.0,3.0,few hours a day,3.0,2.0,3.0,19.0,170.0,90.0,0.0,female,right handed,city
145,i am often early,everytime it suits me,4.0,4.0,few hours a day,3.0,3.0,2.0,19.0,165.0,78.0,1.0,female,right handed,village
966,i am often running late,everytime it suits me,5.0,5.0,less than an hour a day,1.0,5.0,5.0,19.0,170.0,55.0,1.0,female,left handed,city
934,i am always on time,sometimes,3.0,3.0,few hours a day,2.0,2.0,4.0,19.0,163.0,54.0,0.0,,right handed,city
58,i am often running late,everytime it suits me,4.0,2.0,few hours a day,5.0,2.0,4.0,19.0,185.0,71.0,1.0,male,right handed,village
928,i am often early,sometimes,4.0,3.0,few hours a day,3.0,2.0,3.0,19.0,153.0,44.0,0.0,female,right handed,city
80,i am often running late,sometimes,3.0,4.0,few hours a day,3.0,4.0,2.0,19.0,163.0,48.0,1.0,female,right handed,city
927,i am always on time,sometimes,3.0,5.0,few hours a day,3.0,3.0,1.0,19.0,163.0,56.0,1.0,female,right handed,city
952,i am often early,only to avoid hurting someone,4.0,3.0,few hours a day,2.0,1.0,3.0,19.0,179.0,60.0,1.0,male,right handed,city
84,i am often running late,everytime it suits me,5.0,4.0,few hours a day,3.0,4.0,5.0,19.0,168.0,48.0,0.0,female,right handed,city
924,i am often running late,only to avoid hurting someone,4.0,3.0,few hours a day,1.0,3.0,2.0,19.0,155.0,50.0,0.0,female,right handed,city
90,i am often running late,sometimes,4.0,5.0,most of the day,3.0,1.0,1.0,19.0,154.0,58.0,3.0,female,right handed,village
92,i am always on time,sometimes,4.0,3.0,few hours a day,4.0,4.0,2.0,19.0,170.0,63.0,0.0,female,right handed,city
955,i am often early,sometimes,4.0,5.0,few hours a day,2.0,5.0,5.0,19.0,166.0,51.0,1.0,female,right handed,city
51,i am always on time,sometimes,4.0,5.0,less than an hour a day,2.0,5.0,5.0,19.0,,75.0,1.0,female,right handed,city
96,i am often early,sometimes,4.0,4.0,few hours a day,2.0,1.0,2.0,19.0,182.0,81.0,1.0,male,right handed,city
97,i am always on time,sometimes,3.0,3.0,most of the day,5.0,5.0,3.0,19.0,200.0,75.0,1.0,male,right handed,village
185,i am always on time,never,4.0,5.0,less than an hour a day,2.0,3.0,2.0,19.0,167.0,55.0,2.0,female,right handed,city
903,i am always on time,sometimes,4.0,4.0,few hours a day,2.0,4.0,4.0,19.0,188.0,75.0,1.0,male,right handed,city
894,i am always on time,only to avoid hurting someone,4.0,5.0,few hours a day,2.0,3.0,3.0,19.0,158.0,45.0,2.0,female,right handed,city
106,i am often early,only to avoid hurting someone,4.0,4.0,few hours a day,4.0,4.0,3.0,19.0,182.0,80.0,1.0,male,right handed,city
892,i am always on time,sometimes,4.0,3.0,few hours a day,2.0,3.0,3.0,19.0,181.0,70.0,1.0,male,right handed,city
114,i am often early,only to avoid hurting someone,4.0,5.0,less than an hour a day,2.0,3.0,4.0,19.0,163.0,54.0,1.0,female,right handed,city
887,i am often early,only to avoid hurting someone,4.0,3.0,less than an hour a day,3.0,4.0,2.0,19.0,180.0,75.0,1.0,male,right handed,city
884,i am always on time,sometimes,4.0,5.0,few hours a day,4.0,5.0,2.0,19.0,175.0,58.0,1.0,female,right handed,city
883,i am always on time,sometimes,3.0,3.0,few hours a day,4.0,3.0,1.0,19.0,168.0,57.0,2.0,female,right handed,village
876,i am often early,sometimes,4.0,5.0,few hours a day,4.0,4.0,5.0,19.0,182.0,72.0,1.0,male,right handed,city
127,i am often running late,everytime it suits me,3.0,3.0,most of the day,3.0,3.0,1.0,19.0,177.0,64.0,1.0,female,right handed,city
47,i am always on time,sometimes,4.0,4.0,few hours a day,2.0,5.0,3.0,19.0,170.0,60.0,1.0,female,right handed,city
130,i am often early,sometimes,4.0,4.0,few hours a day,1.0,5.0,4.0,19.0,168.0,66.0,1.0,female,right handed,village
139,i am often running late,sometimes,3.0,4.0,few hours a day,4.0,3.0,2.0,19.0,168.0,53.0,1.0,female,right handed,village
140,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,5.0,4.0,19.0,175.0,52.0,3.0,female,right handed,city
141,i am often early,only to avoid hurting someone,3.0,3.0,few hours a day,3.0,5.0,5.0,19.0,170.0,65.0,1.0,female,right handed,city
50,i am often running late,only to avoid hurting someone,4.0,3.0,few hours a day,3.0,3.0,2.0,19.0,175.0,60.0,2.0,female,right handed,city
813,i am always on time,sometimes,5.0,4.0,few hours a day,1.0,3.0,3.0,19.0,181.0,78.0,1.0,male,right handed,city
822,i am often running late,everytime it suits me,4.0,3.0,few hours a day,3.0,3.0,2.0,19.0,175.0,60.0,1.0,female,right handed,city
248,i am often running late,sometimes,4.0,3.0,few hours a day,3.0,4.0,3.0,19.0,160.0,55.0,2.0,female,right handed,city
264,i am often running late,sometimes,4.0,4.0,few hours a day,3.0,4.0,3.0,19.0,167.0,54.0,1.0,female,right handed,village
262,i am often early,sometimes,3.0,2.0,few hours a day,5.0,5.0,5.0,19.0,165.0,55.0,1.0,female,right handed,city
259,i am always on time,only to avoid hurting someone,4.0,5.0,few hours a day,3.0,3.0,4.0,19.0,175.0,72.0,4.0,male,right handed,village
7,i am always on time,sometimes,4.0,4.0,few hours a day,2.0,3.0,2.0,19.0,184.0,90.0,1.0,male,right handed,city
764,i am always on time,sometimes,3.0,4.0,less than an hour a day,2.0,2.0,4.0,19.0,172.0,50.0,2.0,female,right handed,village
9,i am often running late,sometimes,4.0,4.0,few hours a day,2.0,4.0,3.0,19.0,174.0,60.0,3.0,female,right handed,city
266,i am often running late,sometimes,3.0,4.0,few hours a day,4.0,4.0,4.0,19.0,168.0,72.0,1.0,female,right handed,city
257,i am often running late,everytime it suits me,4.0,4.0,few hours a day,2.0,4.0,3.0,19.0,182.0,65.0,2.0,male,right handed,city
251,i am always on time,sometimes,5.0,5.0,few hours a day,2.0,5.0,4.0,19.0,164.0,60.0,2.0,female,right handed,village
249,i am often running late,everytime it suits me,4.0,5.0,no time at all,3.0,2.0,1.0,19.0,165.0,55.0,3.0,female,right handed,village
188,i am often early,everytime it suits me,4.0,4.0,less than an hour a day,2.0,5.0,5.0,19.0,170.0,55.0,2.0,female,left handed,village
10,i am often early,sometimes,4.0,3.0,less than an hour a day,2.0,2.0,2.0,19.0,175.0,60.0,2.0,female,left handed,city
245,i am always on time,only to avoid hurting someone,3.0,5.0,less than an hour a day,3.0,5.0,5.0,19.0,172.0,60.0,1.0,female,right handed,city
999,i am always on time,only to avoid hurting someone,4.0,4.0,few hours a day,3.0,3.0,5.0,19.0,181.0,70.0,1.0,male,right handed,city
769,i am always on time,never,3.0,3.0,less than an hour a day,3.0,3.0,3.0,19.0,167.0,63.0,0.0,female,right handed,city
268,i am often early,sometimes,3.0,4.0,few hours a day,2.0,4.0,2.0,19.0,152.0,47.0,2.0,female,right handed,city
272,i am often running late,sometimes,4.0,2.0,less than an hour a day,3.0,3.0,5.0,19.0,170.0,55.0,1.0,female,right handed,city
273,i am often running late,sometimes,4.0,5.0,few hours a day,3.0,5.0,4.0,19.0,178.0,67.0,2.0,female,right handed,city
302,i am often running late,sometimes,3.0,5.0,less than an hour a day,3.0,5.0,5.0,19.0,178.0,58.0,1.0,female,right handed,village
727,i am always on time,sometimes,5.0,4.0,less than an hour a day,1.0,3.0,1.0,19.0,175.0,80.0,1.0,male,left handed,village
298,i am often running late,sometimes,3.0,4.0,less than an hour a day,3.0,2.0,3.0,19.0,163.0,51.0,0.0,female,right handed,city
297,i am always on time,only to avoid hurting someone,3.0,3.0,few hours a day,4.0,3.0,2.0,19.0,187.0,83.0,0.0,male,right handed,village
294,i am often early,sometimes,3.0,3.0,less than an hour a day,4.0,3.0,4.0,19.0,177.0,63.0,1.0,female,right handed,city
732,i am always on time,sometimes,5.0,5.0,few hours a day,2.0,3.0,4.0,19.0,170.0,63.0,0.0,female,right handed,village
289,i am often early,sometimes,4.0,5.0,most of the day,2.0,4.0,4.0,19.0,188.0,98.0,0.0,male,right handed,city
734,i am often running late,sometimes,4.0,4.0,less than an hour a day,1.0,3.0,3.0,19.0,168.0,56.0,3.0,female,right handed,city
1,i am often early,sometimes,4.0,3.0,few hours a day,2.0,2.0,5.0,19.0,163.0,58.0,2.0,female,right handed,city
287,i am always on time,only to avoid hurting someone,4.0,3.0,few hours a day,3.0,4.0,3.0,19.0,180.0,57.0,1.0,female,right handed,city
281,i am often early,sometimes,3.0,4.0,few hours a day,4.0,2.0,5.0,19.0,178.0,74.0,1.0,male,right handed,city
278,i am always on time,only to avoid hurting someone,4.0,4.0,few hours a day,3.0,3.0,1.0,19.0,180.0,85.0,2.0,male,right handed,village
277,i am often early,only to avoid hurting someone,4.0,4.0,few hours a day,4.0,4.0,5.0,19.0,188.0,76.0,0.0,male,right handed,city
753,i am often running late,sometimes,3.0,3.0,few hours a day,2.0,3.0,2.0,19.0,171.0,49.0,3.0,female,right handed,village
757,i am often running late,sometimes,5.0,5.0,few hours a day,3.0,5.0,5.0,19.0,159.0,52.0,3.0,female,right handed,village
775,i am often early,only to avoid hurting someone,3.0,4.0,few hours a day,5.0,3.0,2.0,19.0,165.0,51.0,3.0,female,right handed,city
777,i am often early,sometimes,3.0,3.0,few hours a day,5.0,3.0,2.0,19.0,185.0,65.0,1.0,male,right handed,city
944,i am often running late,sometimes,4.0,4.0,few hours a day,2.0,2.0,2.0,19.0,162.0,47.0,1.0,female,right handed,village
16,i am always on time,everytime it suits me,4.0,4.0,few hours a day,2.0,3.0,5.0,19.0,175.0,65.0,2.0,female,right handed,city
238,i am always on time,everytime it suits me,4.0,3.0,few hours a day,2.0,2.0,2.0,19.0,157.0,48.0,2.0,female,right handed,city
789,i am often early,only to avoid hurting someone,5.0,5.0,most of the day,1.0,4.0,5.0,19.0,178.0,80.0,3.0,male,right handed,village
217,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,3.0,4.0,19.0,178.0,60.0,1.0,female,right handed,village
786,i am always on time,only to avoid hurting someone,3.0,3.0,few hours a day,2.0,3.0,3.0,19.0,193.0,83.0,0.0,male,right handed,city
203,i am always on time,sometimes,4.0,4.0,few hours a day,3.0,2.0,2.0,19.0,163.0,50.0,1.0,female,right handed,city
997,i am often running late,sometimes,4.0,5.0,less than an hour a day,2.0,4.0,3.0,19.0,167.0,53.0,1.0,female,right handed,
785,i am always on time,only to avoid hurting someone,2.0,3.0,few hours a day,3.0,3.0,3.0,19.0,187.0,80.0,0.0,male,left handed,city
784,i am often early,sometimes,5.0,3.0,few hours a day,3.0,3.0,2.0,19.0,190.0,80.0,1.0,male,left handed,city
791,i am always on time,sometimes,3.0,4.0,few hours a day,3.0,4.0,3.0,19.0,162.0,52.0,1.0,female,right handed,city
195,i am always on time,only to avoid hurting someone,5.0,3.0,few hours a day,3.0,3.0,2.0,19.0,185.0,70.0,1.0,male,right handed,city
797,i am often early,sometimes,4.0,4.0,few hours a day,5.0,4.0,1.0,19.0,185.0,65.0,1.0,male,right handed,city
194,i am often early,only to avoid hurting someone,4.0,4.0,few hours a day,3.0,4.0,4.0,19.0,183.0,78.0,1.0,male,right handed,city
227,i am always on time,everytime it suits me,4.0,3.0,few hours a day,1.0,5.0,1.0,19.0,168.0,68.0,3.0,female,right handed,village
208,i am always on time,sometimes,4.0,3.0,less than an hour a day,3.0,2.0,3.0,19.0,170.0,60.0,2.0,female,right handed,village
230,i am often running late,only to avoid hurting someone,4.0,5.0,few hours a day,2.0,4.0,3.0,19.0,173.0,63.0,1.0,female,right handed,village
205,i am always on time,sometimes,4.0,2.0,few hours a day,3.0,2.0,3.0,19.0,160.0,53.0,1.0,female,right handed,city
231,i am always on time,only to avoid hurting someone,4.0,4.0,few hours a day,3.0,5.0,4.0,19.0,171.0,55.0,0.0,female,right handed,village
802,i am always on time,sometimes,4.0,5.0,few hours a day,1.0,4.0,3.0,19.0,172.0,60.0,0.0,female,right handed,city
232,i am often running late,only to avoid hurting someone,3.0,1.0,few hours a day,5.0,1.0,5.0,19.0,168.0,60.0,2.0,female,right handed,village
13,i am often early,only to avoid hurting someone,4.0,4.0,few hours a day,2.0,2.0,2.0,19.0,165.0,55.0,1.0,female,right handed,city
954,i am always on time,everytime it suits me,3.0,4.0,few hours a day,2.0,4.0,2.0,20.0,175.0,62.0,0.0,female,right handed,city
564,i am always on time,sometimes,4.0,5.0,less than an hour a day,2.0,5.0,2.0,20.0,180.0,75.0,2.0,male,right handed,village
953,i am always on time,sometimes,3.0,3.0,few hours a day,3.0,3.0,4.0,20.0,165.0,57.0,1.0,female,right handed,city
